# Wing Angle Data Export
# Generated on: 2025-10-08 23:11:16
# Original time range: [11.800, 12.500] seconds
# Time normalized to start from 0
# Raw forewing points: 32
# Raw hindwing points: 30
# Interpolated forewing points: 320
# Interpolated hindwing points: 300
# Columns:
# - time: Time in seconds (normalized to start from 0)
# - forewing_angle: Forewing angle in degrees
# - hindwing_angle: Hindwing angle in degrees
# - data_type: 'raw' for original data points, 'interpolated' for smoothed curve
time,forewing_angle,hindwing_angle,data_type
0.1636487742946695,51.42851896236579,,interpolated
0.16508921739130322,,-5.782750347714574,interpolated
0.16550348589341546,51.366106379895626,,interpolated
0.16715154849498326,,-5.914142372620808,interpolated
0.1673581974921614,51.19996860270922,,interpolated
0.16921290909090914,50.926724986441485,,interpolated
0.16921387959866152,,-6.041271775982449,interpolated
0.1710676206896551,50.543212522063484,,interpolated
0.17127621070234156,,-6.163941586089074,interpolated
0.17292233228840104,50.04640094203445,,interpolated
0.17333854180601982,,-6.28185575828227,interpolated
0.174777043887147,49.43339133118745,,interpolated
0.17540087290969808,,-6.394229579576492,interpolated
0.17663175548589294,48.70152437841915,,interpolated
0.17746320401337812,,-6.499698955377027,interpolated
0.1784864670846389,47.84848609171508,,interpolated
0.17952553511705638,,-6.596317406050648,interpolated
0.18034117868338484,46.87286223307832,,interpolated
0.18158786622073464,,-6.682464166693618,interpolated
0.1821958902821308,45.775188221239084,,interpolated
0.18365019732441468,,-6.75756728468303,interpolated
0.18405060188087674,44.55787100035592,,interpolated
0.18571252842809294,,-6.822333946575537,interpolated
0.1859053134796227,43.22493861550046,,interpolated
0.18776002507836864,41.78170239615999,,interpolated
0.18777485953177298,,-6.878865845862897,interpolated
0.1896147366771146,40.23352155997978,,interpolated
0.18983719063545124,,-6.92932139703501,interpolated
0.19146944827586054,38.58518872426513,,interpolated
0.1918995217391295,,-6.97473657202581,interpolated
0.19332415987460827,36.841053510836865,,interpolated
0.19396185284280953,,-7.01472746425537,interpolated
0.19517887147335422,35.00515068835877,,interpolated
0.1960241839464878,,-7.0472879437427025,interpolated
0.19703358307210017,33.08150581096394,,interpolated
0.19808651505016606,,-7.069854057719262,interpolated
0.19888829467084612,31.074621355986363,,interpolated
0.1995199999999997,,-7.246498001425621,raw
0.1995199999999997,31.60292689189832,,raw
0.2001488461538461,,-7.080326268790684,interpolated
0.20074300626959207,28.989515461163766,,interpolated
0.20221117725752435,,-7.077249874783054,interpolated
0.20259771786833802,26.83169193324561,,interpolated
0.2042735083612044,,-7.059949991764256,interpolated
0.20445242946708397,24.60710886444296,,interpolated
0.20630714106582992,22.322145856720393,,interpolated
0.20633583946488265,,-7.0281980330431555,interpolated
0.20783999999999914,20.725598646528056,,raw
0.20783999999999914,,-7.129075041697632,raw
0.20816185266457587,19.98356985392976,,interpolated
0.20839817056856091,,-6.981860013518348,interpolated
0.21001656426332183,17.598499581785894,,interpolated
0.21046050167224095,,-6.92088350048098,interpolated
0.21187127586206778,15.174368595684264,,interpolated
0.2125228327759192,,-6.84529574021628,interpolated
0.21372598746081373,12.718886936360567,,interpolated
0.21458516387959747,,-6.755201352179601,interpolated
0.21558069905955968,10.240001393392221,,interpolated
0.21618599999999866,8.736460124464728,,raw
0.2166474949832775,,-6.650779590746874,interpolated
0.2174354106583074,7.745854376541814,,interpolated
0.21870982608695577,,-6.532281174539665,interpolated
0.21929012225705335,5.2447413949424835,,interpolated
0.2207721571906358,,-6.400024683324624,interpolated
0.2211448338557993,2.7451523598765237,,interpolated
0.22283448829431407,,-6.254392522487511,interpolated
0.22299954545454526,0.2565601137716928,,interpolated
0.22450499999999884,-2.6878293228264596,,raw
0.2248542570532912,-2.2103308411794473,,interpolated
0.22489681939799233,,-6.095826455081674,interpolated
0.22670896865203716,-4.643915102340934,,interpolated
0.22695915050167237,,-5.924822701451002,interpolated
0.2285636802507831,-7.032017787398707,,interpolated
0.22902148160535063,,-5.74192660642742,interpolated
0.23041839184952906,-9.362876580400602,,interpolated
0.2310838127090289,,-5.547726874102869,interpolated
0.232273103448275,-11.626688160921585,,interpolated
0.23284899999999986,-12.399657733983389,,raw
0.23314614381270893,,-5.342849370175723,interpolated
0.23412781504702096,-13.81565258732252,,interpolated
0.2352084749163872,,-5.127950491871786,interpolated
0.2359825266457669,-15.923817324068791,,interpolated
0.23727080602006723,,-4.903710105439712,interpolated
0.23783723824451286,-17.946790923505972,,interpolated
0.2393331371237455,,-4.670824051220961,interpolated
0.2396919498432588,-19.88031944387215,,interpolated
0.24117199999999883,-21.75777135300892,,raw
0.24139546822742375,,-4.42999621629424,interpolated
0.24154666144200476,-21.719731586028622,,interpolated
